nodeId,embedding
0,"[0.04483890160918236, -0.08961671590805054]"
1,"[0.04479410871863365, -0.004844509530812502]"
2,"[0.044570162892341614, -0.08098351955413818]"
3,"[0.04452536255121231, 0.0037886779755353928]"
4,"[0.04465973749756813, 0.24947208166122437]"
5,"[0.044614944607019424, -0.1657557189464569]"
6,"[0.044390998780727386, -0.24189472198486328]"
7,"[-2.2850465774536133, -2.692250967025757]"
8,"[0.0444805733859539, 0.08856087923049927]"
9,"[0.044435787945985794, 0.173333078622818]"
10,"[0.04421182721853256, 0.09719406068325043]"
11,"[0.044167038053274155, 0.18196626007556915]"
12,"[-1.8792445659637451, -2.3276994228363037]"
13,"[0.044256627559661865, 0.012421865947544575]"
14,"[0.045465972274541855, 0.2235725224018097]"
15,"[0.04542118310928345, -0.19165529310703278]"
16,"[0.04555555433034897, 0.05402811989188194]"
17,"[0.045510753989219666, 0.13880032300949097]"
18,"[0.04528680816292763, 0.0626613050699234]"
19,"[0.04524201899766922, 0.14743350446224213]"
20,"[0.045376382768154144, -0.10688308626413345]"
21,"[0.045331601053476334, -0.022110892459750175]"
22,"[0.0451076440513134, -0.0982499048113823]"
23,"[0.04506285488605499, -0.013477704487740993]"
24,"[0.04519721865653992, 0.23220570385456085]"
25,"[0.045152436941862106, -0.18302209675312042]"
26,"[0.04492847993969917, 0.2408389002084732]"
27,"[-11.713337898254395, -6.2905049324035645]"
28,"[0.04501806199550629, 0.07129450142383575]"
29,"[0.04497327283024788, 0.15606670081615448]"
30,"[0.04331601783633232, -0.20736196637153625]"
31,"[-1.8450733423233032, -2.308500051498413]"
32,"[0.043405599892139435, 0.1230936348438263]"
33,"[0.04336080700159073, 0.20786583423614502]"
34,"[-1.8520385026931763, -2.386589288711548]"
35,"[0.043092064559459686, 0.21649901568889618]"
36,"[0.043226443231105804, -0.0378175750374794]"
37,"[0.0431816428899765, 0.046954624354839325]"
38,"[0.04295768961310387, -0.029184387996792793]"
39,"[0.042912907898426056, 0.05558780953288078]"
40,"[0.04304727166891098, -0.1987287849187851]"
41,"[0.04300248250365257, -0.11395658552646637]"
42,"[0.042778532952070236, -0.19009558856487274]"
43,"[0.04273374378681183, -0.10532339662313461]"
44,"[0.04286810755729675, 0.1403600126504898]"
45,"[0.042823318392038345, 0.22513221204280853]"
46,"[-1.6429884433746338, -2.250901222229004]"
47,"[0.04398787394165993, 0.021055052056908607]"
48,"[0.044122252613306046, -0.23326154053211212]"
49,"[0.04407746344804764, -0.1484893411397934]"
50,"[0.04385349899530411, -0.22462834417819977]"
51,"[0.0438087172806263, -0.13985615968704224]"
52,"[0.04394308850169182, 0.10582724958658218]"
53,"[0.04389829933643341, 0.1905994564294815]"
54,"[0.043674346059560776, 0.11446044594049454]"
55,"[0.04362955316901207, 0.19923263788223267]"
56,"[0.04376392439007759, -0.05508395656943321]"
57,"[0.043719127774238586, 0.029688240960240364]"
58,"[-5.156959533691406, -4.729148864746094]"
59,"[0.04345038905739784, 0.03832143545150757]"
60,"[-7.566160202026367, -4.706011772155762]"
61,"[0.04353996366262436, -0.13122296333312988]"
62,"[0.0418827161192894, 0.005348362028598785]"
63,"[0.04183792695403099, 0.09012056887149811]"
64,"[0.04197229817509651, -0.16419602930545807]"
65,"[0.041927509009838104, -0.07942383736371994]"
66,"[0.04170355200767517, -0.15556283295154572]"
67,"[0.04165876284241676, -0.07079064846038818]"
68,"[0.041793134063482285, 0.17489276826381683]"
69,"[0.04174834489822388, -0.24033503234386444]"
70,"[0.041524387896060944, 0.183525949716568]"
71,"[0.041479598730802536, -0.23170185089111328]"
72,"[0.04161396995186806, 0.013981557451188564]"
73,"[0.04156918823719025, 0.09875375777482986]"
74,"[0.041345227509737015, 0.022614745423197746]"
75,"[0.04130043461918831, 0.10738693922758102]"
76,"[0.04143480584025383, -0.14692965149879456]"
77,"[0.04139002412557602, -0.06215745210647583]"
78,"[0.04259936884045601, 0.14899319410324097]"
79,"[0.0425545796751976, 0.2337653934955597]"
80,"[0.042688943445682526, -0.020551200956106186]"
81,"[0.04264415428042412, 0.06422099471092224]"
82,"[0.04242020845413208, -0.011918012984097004]"
83,"[0.04237540811300278, 0.072854183614254]"
84,"[0.0425097830593586, -0.18146240711212158]"
85,"[0.04246499761939049, -0.09669020771980286]"
86,"[-11.412334442138672, -6.340724945068359]"
87,"[0.04219624400138855, -0.0880570262670517]"
88,"[0.042330626398324966, 0.15762639045715332]"
