nodeId,embedding
0,"[-0.15770520269870758, 0.09923230111598969]"
1,"[-0.15792915225028992, 0.023093288764357567]"
2,"[-0.15797394514083862, 0.10786549001932144]"
3,"[-0.1578395664691925, -0.14645111560821533]"
4,"[-0.1578843593597412, -0.061678916215896606]"
5,"[-0.15667501091957092, 0.14947174489498138]"
6,"[-0.15671980381011963, 0.2342439442873001]"
7,"[-6.384210586547852, -3.0217747688293457]"
8,"[-0.15663021802902222, 0.06469954550266266]"
9,"[-0.15685418248176575, -0.011439467780292034]"
10,"[-0.15689896047115326, 0.07333272695541382]"
11,"[-0.15676459670066833, -0.18098387122154236]"
12,"[-2.259221076965332, -6.079751014709473]"
13,"[-0.15703333914279938, -0.17235067486763]"
14,"[-0.15707813203334808, -0.08757847547531128]"
15,"[-0.15694375336170197, 0.15810492634773254]"
16,"[-0.15698854625225067, 0.24287712574005127]"
17,"[-0.157212495803833, 0.1667381227016449]"
18,"[-0.1572572886943817, -0.24848967790603638]"
19,"[-0.1571229249238968, -0.0028062802739441395]"
20,"[-0.1571677178144455, 0.08196591585874557]"
21,"[-0.15882496535778046, 0.21853725612163544]"
22,"[-0.15886975824832916, -0.19669054448604584]"
23,"[-0.15873537957668304, 0.04899285361170769]"
24,"[-0.15878017246723175, 0.1337650567293167]"
25,"[-0.1590041220188141, 0.057626038789749146]"
26,"[-0.1590489149093628, 0.14239823818206787]"
27,"[-4.891437530517578, -6.653146266937256]"
28,"[-0.15895934402942657, -0.02714615873992443]"
29,"[-0.1591832935810089, -0.10328517109155655]"
30,"[-0.15922808647155762, -0.018512971699237823]"
31,"[-5.455711364746094, -1.6677825450897217]"
32,"[-0.1591385006904602, -0.18805736303329468]"
33,"[-0.15936245024204254, 0.23580363392829895]"
34,"[-3.3660619258880615, -1.202453374862671]"
35,"[-0.15927287936210632, 0.0662592351436615]"
36,"[-0.15931765735149384, 0.15103143453598022]"
37,"[-0.15810830891132355, -0.13781791925430298]"
38,"[-0.15815310180187225, -0.05304571986198425]"
39,"[-0.15801873803138733, 0.19263768196105957]"
40,"[-0.15806353092193604, -0.2225901186466217]"
41,"[-0.15828748047351837, 0.20127087831497192]"
42,"[-0.15833227336406708, -0.21395692229270935]"
43,"[-0.15819789469242096, 0.031726475805044174]"
44,"[-0.15824268758296967, 0.1164986714720726]"
45,"[-0.158466637134552, 0.04035966470837593]"
46,"[-4.700351715087891, -2.1442177295684814]"
47,"[-0.15837706625461578, -0.12918473780155182]"
48,"[-0.1584218442440033, -0.044412534683942795]"
49,"[-0.15864580869674683, -0.12055154144763947]"
50,"[-0.15869058668613434, -0.03577934578061104]"
51,"[-0.15855622291564941, 0.20990405976772308]"
52,"[-0.15860101580619812, -0.2053237408399582]"
53,"[-0.16025826334953308, -0.06875240802764893]"
54,"[-0.1603030562400818, 0.016019785776734352]"
55,"[-0.16016869246959686, -0.23829680681228638]"
56,"[-0.16021347045898438, -0.15352460741996765]"
57,"[-0.1604374349117279, -0.22966361045837402]"
58,"[-4.581531524658203, -4.290412902832031]"
59,"[-0.1603478491306305, 0.10079198330640793]"
60,"[-3.2962679862976074, -2.451836109161377]"
61,"[-0.16061659157276154, 0.10942517966032028]"
62,"[-0.16066138446331024, 0.1941973716020584]"
63,"[-0.16052700579166412, -0.06011922284960747]"
64,"[-0.16057179868221283, 0.02465297468006611]"
65,"[-0.16079574823379517, -0.05148603767156601]"
66,"[-0.16084054112434387, 0.03328616917133331]"
67,"[-0.16070617735385895, -0.22103042900562286]"
68,"[-0.16075097024440765, -0.13625822961330414]"
69,"[-0.15954162180423737, 0.07489242404699326]"
70,"[-0.15958639979362488, 0.15966461598873138]"
71,"[-0.15945203602313995, -0.09465198218822479]"
72,"[-0.15949682891368866, -0.009879776276648045]"
73,"[-0.159720778465271, -0.08601878583431244]"
74,"[-0.1597655713558197, -0.001246588653884828]"
75,"[-0.15963119268417358, 0.2444368153810501]"
76,"[-0.1596759855747223, -0.17079098522663116]"
77,"[-0.15989993512630463, -0.24692998826503754]"
78,"[-0.15994472801685333, -0.1621577888727188]"
79,"[-0.1598103642463684, 0.08352561295032501]"
80,"[-0.15985515713691711, 0.16829781234264374]"
81,"[-0.16007910668849945, 0.09215879440307617]"
82,"[-0.16012389957904816, 0.1769309937953949]"
83,"[-0.15998952090740204, -0.07738559693098068]"
84,"[-0.16003431379795074, 0.007386598736047745]"
85,"[-0.19609080255031586, 0.24900610744953156]"
86,"[-4.786199569702148, -6.539332389831543]"
87,"[-0.19600121676921844, 0.0794617086648941]"
88,"[-0.19604600965976715, 0.16423390805721283]"
89,"[-0.1962699592113495, 0.08809489756822586]"
90,"[-0.1963147521018982, 0.172867089509964]"
91,"[-0.19618038833141327, -0.08144950121641159]"
92,"[-0.19622516632080078, 0.003322696778923273]"
93,"[-0.1964491307735443, -0.07281631231307983]"
94,"[-0.19649392366409302, 0.011955884285271168]"
95,"[-1.7598481178283691, -3.049727439880371]"
96,"[-4.786425590515137, -2.1340928077697754]"
97,"[-0.19662828743457794, -0.23372751474380493]"
98,"[-0.19667308032512665, -0.1489553153514862]"
99,"[-0.19653870165348053, 0.09672807902097702]"
100,"[-0.19658349454402924, 0.18150028586387634]"
101,"[-0.19537414610385895, -0.10734906792640686]"
102,"[-0.19541893899440765, -0.022576872259378433]"
103,"[-3.792759895324707, -0.39663246273994446]"
104,"[-0.19532935321331024, -0.19212126731872559]"
105,"[-0.19555331766605377, 0.23173972964286804]"
106,"[-0.19559811055660248, -0.18348807096481323]"
107,"[-0.19546373188495636, 0.062195323407649994]"
108,"[-0.19550852477550507, 0.14696753025054932]"
109,"[-0.1957324743270874, 0.07082851976156235]"
110,"[-0.1957772672176361, 0.15560071170330048]"
111,"[-0.19564288854599, -0.0987158864736557]"
112,"[-0.1956876814365387, -0.0139436861500144]"
113,"[-0.19591163098812103, -0.09008269757032394]"
114,"[-0.19595642387866974, -0.005310490727424622]"
115,"[-0.19582206010818481, 0.2403729110956192]"
116,"[-0.19586685299873352, -0.17485488951206207]"
117,"[-1.6488741636276245, -3.1530160903930664]"
118,"[-0.1975688934326172, 0.04648864269256592]"
119,"[-0.19743451476097107, -0.20782795548439026]"
120,"[-0.19747930765151978, -0.12305575609207153]"
121,"[-0.1977032721042633, -0.1991947591304779]"
122,"[-0.19774805009365082, -0.11442256718873978]"
123,"[-0.1976136863231659, 0.13126084208488464]"
124,"[-0.1976584792137146, 0.21603304147720337]"
125,"[-5.034682273864746, -1.6732380390167236]"
126,"[-0.19792722165584564, 0.22466622292995453]"
127,"[-0.19779284298419952, -0.0296503696590662]"
128,"[-0.19783763587474823, 0.055121827870607376]"
129,"[-0.19806158542633057, -0.021017180755734444]"
130,"[-3.8008406162261963, -0.4972400367259979]"
131,"[-0.19797201454639435, -0.19056157767772675]"
132,"[-0.19801679253578186, -0.10578937083482742]"
133,"[-0.19680744409561157, 0.10536126792430878]"
134,"[-0.19685223698616028, 0.1901334673166275]"
135,"[-0.19671787321567535, -0.06418312340974808]"
136,"[-0.19676266610622406, 0.02058907225728035]"
137,"[-0.1969866156578064, -0.05554993823170662]"
138,"[-0.1970314085483551, 0.029222259297966957]"
139,"[-0.19689702987670898, -0.22509433329105377]"
140,"[-0.1969418227672577, -0.14032213389873505]"
141,"[-0.19716577231884003, -0.21646113693714142]"
142,"[-0.19721056520938873, -0.1316889375448227]"
143,"[-0.1970762014389038, 0.11399445682764053]"
144,"[-0.19712097942829132, 0.19876666367053986]"
145,"[-0.19734494388103485, 0.12262765318155289]"
146,"[-0.19738973677158356, 0.20739984512329102]"
147,"[-0.19725535809993744, -0.04691675305366516]"
148,"[-0.19730015099048615, 0.037855446338653564]"
149,"[-0.1989573985338211, 0.17442677915096283]"
150,"[-0.1990021914243698, -0.24080102145671844]"
151,"[-0.1988678276538849, 0.004882380831986666]"
152,"[-0.1989126056432724, 0.0896545872092247]"
153,"[-0.19913657009601593, 0.013515575788915157]"
154,"[-0.19918136298656464, 0.09828777611255646]"
155,"[-0.19904698431491852, -0.15602882206439972]"
156,"[-0.19909177720546722, -0.07125663012266159]"
157,"[-0.19931572675704956, -0.14739562571048737]"
158,"[-0.19936051964759827, -0.06262343376874924]"
159,"[-0.19922614097595215, 0.18305997550487518]"
160,"[-0.19927093386650085, -0.2321678251028061]"
161,"[-0.19949489831924438, 0.19169315695762634]"
162,"[-0.1995396763086319, -0.22353464365005493]"
163,"[-0.19940531253814697, 0.02214876376092434]"
164,"[-0.19945010542869568, 0.10692095756530762]"
165,"[-0.1982407569885254, -0.1819283813238144]"
166,"[-0.1982855498790741, -0.09715618193149567]"
167,"[-0.19815117120742798, 0.14852721989154816]"
168,"[-0.19819596409797668, 0.23329941928386688]"
169,"[-0.19841991364955902, 0.15716040134429932]"
170,"[-0.19846470654010773, 0.24193260073661804]"
171,"[-0.1983303278684616, -0.012383993715047836]"
172,"[-0.19837512075901031, 0.07238820195198059]"
173,"[-0.19859908521175385, -0.003750806674361229]"
174,"[-0.19864386320114136, 0.08102139085531235]"
175,"[-0.19850949943065643, -0.17329519987106323]"
176,"[-0.19855429232120514, -0.0885230004787445]"
177,"[-5.248532772064209, -2.337906837463379]"
178,"[-0.19882303476333618, -0.07988981157541275]"
179,"[-0.19868865609169006, 0.16579359769821167]"
180,"[-0.19873344898223877, -0.2494342029094696]"
181,"[-0.20039071142673492, -0.11286287754774094]"
182,"[-0.20043548941612244, -0.028090685606002808]"
183,"[-0.2003011256456375, 0.2175927311182022]"
184,"[-0.20034591853618622, -0.19763506948947906]"
185,"[-0.20056986808776855, 0.22622591257095337]"
186,"[-5.393117904663086, -3.327146053314209]"
187,"[-0.20048028230667114, 0.056681521236896515]"
188,"[-0.20052507519721985, 0.14145371317863464]"
189,"[-0.20074902474880219, 0.06531471014022827]"
190,"[-0.2007938176393509, 0.150086909532547]"
191,"[-0.20065945386886597, -0.10422968864440918]"
192,"[-0.20070424675941467, -0.019457489252090454]"
193,"[-0.200928196310997, -0.09559649229049683]"
194,"[-0.20097298920154572, -0.010824302211403847]"
195,"[-0.2008386105298996, 0.23485910892486572]"
196,"[-0.2008834034204483, -0.18036869168281555]"
197,"[-0.19967405498027802, 0.030781950801610947]"
198,"[-0.19971884787082672, 0.11555414646863937]"
199,"[-0.1995844691991806, -0.1387624442577362]"
200,"[-0.1996292620897293, -0.05399024859070778]"
201,"[-0.19985321164131165, -0.13012924790382385]"
202,"[-0.19989800453186035, -0.04535705968737602]"
203,"[-0.19976364076137543, 0.2003263533115387]"
204,"[-0.19980841875076294, -0.21490144729614258]"
205,"[-0.20003238320350647, 0.20895953476428986]"
206,"[-0.20007717609405518, -0.20626826584339142]"
207,"[-0.19994279742240906, 0.0394151397049427]"
208,"[-0.19998759031295776, 0.12418733537197113]"
209,"[-0.2002115398645401, 0.04804832488298416]"
210,"[-0.2002563327550888, 0.13282053172588348]"
211,"[-0.2001219540834427, -0.12149606645107269]"
212,"[-6.3838605880737305, -3.28218674659729]"
213,"[-0.19035759568214417, -0.10183525830507278]"
214,"[-0.19040238857269287, -0.017063060775399208]"
215,"[-0.19026800990104675, 0.22862035036087036]"
216,"[-0.19031280279159546, -0.1866074651479721]"
217,"[-0.1905367523431778, 0.23725353181362152]"
218,"[-0.1905815452337265, -0.17797426879405975]"
219,"[-0.19044718146324158, 0.06770913302898407]"
220,"[-0.19049197435379028, 0.1524813324213028]"
221,"[-4.5857672691345215, -2.548046112060547]"
222,"[-0.19076071679592133, 0.16111452877521515]"
223,"[-0.1906263381242752, -0.09320206940174103]"
224,"[-0.1906711310148239, -0.0084298737347126]"
225,"[-0.19089508056640625, -0.08456888794898987]"
226,"[-0.19093987345695496, 0.0002033134369412437]"
227,"[-0.19080549478530884, 0.24588672816753387]"
228,"[-0.19085028767585754, -0.1693410873413086]"
229,"[-0.18964093923568726, 0.0418095663189888]"
230,"[-0.18968573212623596, 0.12658177316188812]"
231,"[-0.18955136835575104, -0.12773482501506805]"
232,"[-0.18959616124629974, -0.042962633073329926]"
233,"[-0.18982011079788208, -0.1191016435623169]"
234,"[-0.1898649036884308, -0.03432944416999817]"
235,"[-0.18973052501678467, 0.21135397255420685]"
236,"[-0.18977531790733337, -0.20387384295463562]"
237,"[-0.1899992674589157, 0.219987154006958]"
238,"[-0.19004406034946442, -0.19524064660072327]"
239,"[-0.1899096816778183, 0.050442762672901154]"
240,"[-0.189954474568367, 0.13521495461463928]"
241,"[-0.19017843902111053, 0.05907594785094261]"
242,"[-0.19022321701049805, 0.14384815096855164]"
243,"[-0.19008885324001312, -0.11046845465898514]"
244,"[-0.19013364613056183, -0.025696249678730965]"
245,"[-0.1917908936738968, 0.11087507754564285]"
246,"[-0.1918356865644455, 0.19564728438854218]"
247,"[-0.19170132279396057, -0.058669313788414]"
248,"[-0.19174610078334808, 0.026102883741259575]"
249,"[-0.1919700652360916, -0.05003612861037254]"
250,"[-0.19201484322547913, 0.03473607078194618]"
251,"[-0.1918804794549942, -0.2195805162191391]"
252,"[-0.1919252723455429, -0.13480833172798157]"
253,"[-0.19214922189712524, -0.21094733476638794]"
254,"[-0.19219401478767395, -0.1261751353740692]"
255,"[-0.19205963611602783, 0.11950826644897461]"
256,"[-0.19210442900657654, 0.20428046584129333]"
257,"[-0.19232837855815887, 0.12814146280288696]"
258,"[-0.19237317144870758, 0.2129136621952057]"
259,"[-0.19223880767822266, -0.04140293970704079]"
260,"[-0.19228360056877136, 0.04336925968527794]"
261,"[-0.19107425212860107, -0.24548009037971497]"
262,"[-0.1911190301179886, -0.16070789098739624]"
263,"[-0.19098466634750366, 0.08497551083564758]"
264,"[-0.19102945923805237, 0.1697477102279663]"
265,"[-0.1912534087896347, 0.09360870718955994]"
266,"[-0.1912982016801834, 0.17838090658187866]"
267,"[-0.1911638230085373, -0.07593569904565811]"
268,"[-0.191208615899086, 0.008836501277983189]"
269,"[-0.19143256545066833, -0.06730251014232635]"
270,"[-0.19147735834121704, 0.017469696700572968]"
271,"[-0.19134299457073212, -0.2368468940258026]"
272,"[-3.1721582412719727, -5.159422874450684]"
273,"[-0.19161173701286316, -0.22821371257305145]"
274,"[-0.19165652990341187, -0.14344151318073273]"
275,"[-2.255896806716919, -3.6007027626037598]"
276,"[-0.19156694412231445, 0.18701408803462982]"
277,"[-0.19322419166564941, -0.1764145791530609]"
278,"[-0.19326898455619812, -0.09164237976074219]"
279,"[-0.1931346207857132, 0.15404102206230164]"
280,"[-0.1931794136762619, 0.23881322145462036]"
281,"[-0.19340336322784424, 0.162674218416214]"
282,"[-0.19344815611839294, 0.24744641780853271]"
283,"[-0.19331377744674683, -0.006870182231068611]"
284,"[-0.19335857033729553, 0.07790201902389526]"
285,"[-0.19358251988887787, 0.0017630050424486399]"
286,"[-0.19362731277942657, 0.08653520047664642]"
287,"[-0.19349294900894165, -0.16778138279914856]"
288,"[-0.19353772699832916, -0.08300919085741043]"
289,"[-0.1937616914510727, -0.1591482013463974]"
290,"[-0.1938064694404602, -0.07437600195407867]"
291,"[-0.19367210566997528, 0.17130739986896515]"
292,"[-0.193716898560524, -0.24392040073871613]"
293,"[-0.1925075501203537, -0.03276975080370903]"
