nodeId,embedding
0,"[-0.11312002688646317, 0.12503089010715485]"
1,"[-0.1133439913392067, 0.048891883343458176]"
2,"[-0.1133887767791748, 0.1336640864610672]"
3,"[-0.11325439810752869, -0.12065250426530838]"
4,"[-0.11329919099807739, -0.03588031604886055]"
5,"[-0.11352315545082092, -0.11201931536197662]"
6,"[-0.11356794089078903, -0.027247127145528793]"
7,"[4.804513454437256, 3.635157823562622]"
8,"[-0.11347835510969162, -0.19679151475429535]"
9,"[-0.10366920381784439, 0.23809708654880524]"
10,"[-0.1037139967083931, -0.17713071405887604]"
11,"[-0.10357962548732758, 0.06855269521474838]"
12,"[1.977784514427185, 1.9667643308639526]"
13,"[-0.10384836792945862, 0.07718588411808014]"
14,"[-0.10389316082000732, 0.16195808351039886]"
15,"[-0.1037587821483612, -0.09235851466655731]"
16,"[-0.10380356758832932, -0.007586317136883736]"
17,"[-0.10402753204107285, -0.08372532576322556]"
18,"[-0.10407232493162155, 0.0010468704858794808]"
19,"[-0.10393793880939484, 0.2467302829027176]"
20,"[-0.10398273169994354, -0.16849753260612488]"
21,"[-0.10420669615268707, -0.24463653564453125]"
22,"[-0.10425147414207458, -0.15986433625221252]"
23,"[-0.10411710292100906, 0.0858190655708313]"
24,"[-0.10416189581155777, 0.17059126496315002]"
25,"[-0.10295254737138748, -0.11825808137655258]"
26,"[-0.10299734026193619, -0.033485885709524155]"
27,"[13.133432388305664, -5.291711807250977]"
28,"[-0.10290776193141937, -0.2030302882194519]"
29,"[-0.10313171148300171, 0.22083070874214172]"
30,"[-0.10317650437355042, -0.19439709186553955]"
31,"[2.0447304248809814, 2.0133779048919678]"
32,"[-0.103086918592453, 0.136058509349823]"
33,"[-0.10331087559461594, 0.059919506311416626]"
34,"[2.4811158180236816, 2.2874391078948975]"
35,"[-0.10322129726409912, -0.10962489992380142]"
36,"[-0.10326608270406723, -0.024852698668837547]"
37,"[-0.10349003225564957, -0.10099171102046967]"
38,"[-0.10353483259677887, -0.016219504177570343]"
39,"[-0.10340046137571335, 0.22946390509605408]"
40,"[-0.10344524681568146, -0.1857639104127884]"
41,"[-0.10510250180959702, -0.04919257014989853]"
42,"[-0.10514728724956512, 0.0355796292424202]"
43,"[-0.1050129234790802, -0.21873696148395538]"
44,"[-0.1050577163696289, -0.13396477699279785]"
45,"[-0.10528165847063065, -0.21010378003120422]"
46,"[-0.10532645136117935, -0.1253315806388855]"
47,"[-0.10519208759069443, 0.12035182863473892]"
48,"[-0.10523688048124313, 0.20512402057647705]"
49,"[-0.10546082258224487, 0.12898501753807068]"
50,"[-0.10550562292337418, 0.2137572169303894]"
51,"[-0.10537125170230865, -0.04055938124656677]"
52,"[-0.10541603714227676, 0.044212814420461655]"
53,"[-0.1056399866938591, -0.031926196068525314]"
54,"[-0.1056847870349884, 0.05284600332379341]"
55,"[-0.10555041581392288, -0.20147058367729187]"
56,"[-0.1055951938033104, -0.11669839173555374]"
57,"[-0.1043858528137207, 0.09445225447416306]"
58,"[5.459866046905518, 3.7074170112609863]"
59,"[-0.10429626703262329, -0.0750921368598938]"
60,"[8.75395393371582, 4.170449733734131]"
61,"[-0.10456501692533493, -0.06645895540714264]"
62,"[-0.10460980236530304, 0.018313245847821236]"
63,"[-0.10447543114423752, -0.2360033392906189]"
64,"[-0.10452023148536682, -0.15123115479946136]"
65,"[-0.10474418103694916, -0.22737015783786774]"
66,"[-0.10478896647691727, -0.142597958445549]"
67,"[-0.10465459525585175, 0.10308545082807541]"
68,"[-0.10469938814640045, 0.18785764276981354]"
69,"[-0.10492333769798279, 0.11171863973140717]"
70,"[-0.1049681305885315, 0.1964908391237259]"
71,"[-0.10483375936746597, -0.05782576650381088]"
72,"[-0.10487855225801468, 0.02694644033908844]"
73,"[-0.10653580725193024, 0.1635177731513977]"
74,"[-0.10658059269189835, 0.24828997254371643]"
75,"[-0.10644622147083282, -0.006026632618159056]"
76,"[-0.10649100691080093, 0.07874557375907898]"
77,"[-0.10671497136354446, 0.0026065621059387922]"
78,"[-0.10675975680351257, 0.08737876266241074]"
79,"[-0.10662537813186646, -0.16693782806396484]"
80,"[-0.10667017847299576, -0.08216564357280731]"
81,"[-0.10689413547515869, -0.15830464661121368]"
82,"[-0.1069389134645462, -0.07353244721889496]"
83,"[-0.10680454224348068, 0.17215095460414886]"
84,"[-0.10684934258460999, -0.2430768460035324]"
85,"[-0.10707329958677292, 0.18078415095806122]"
86,"[13.097502708435059, -5.268199920654297]"
87,"[-0.10698370635509491, 0.011239749379456043]"
88,"[-0.10702850669622421, 0.0960119441151619]"
89,"[-0.10581915080547333, -0.1928374022245407]"
90,"[-0.10586395114660263, -0.10806520283222198]"
91,"[-0.10572957247495651, 0.13761819899082184]"
92,"[-0.10577435791492462, 0.22239039838314056]"
93,"[-0.10599832236766815, 0.1462513953447342]"
94,"[-0.10604310780763626, 0.23102359473705292]"
95,"[7.289461135864258, 3.9820847511291504]"
96,"[1.59177827835083, 1.8557913303375244]"
97,"[-0.10617747902870178, -0.01465982012450695]"
98,"[-0.10622227191925049, 0.07011237740516663]"
99,"[-0.10608789324760437, -0.18420420587062836]"
100,"[-0.10613268613815308, -0.09943202137947083]"
101,"[-0.10635664314031601, -0.1755710244178772]"
102,"[-0.10640143603086472, -0.09079883247613907]"
103,"[1.8267308473587036, -2.0116283893585205]"
104,"[-0.1063118502497673, 0.23965677618980408]"
105,"[-0.10796910524368286, -0.12377189844846725]"
106,"[-0.10801389813423157, -0.03899969905614853]"
107,"[-0.10787952691316605, 0.2066837102174759]"
108,"[-0.10792431235313416, -0.20854409039020538]"
109,"[-0.10814826190471649, 0.21531690657138824]"
110,"[-0.1081930622458458, -0.19991089403629303]"
111,"[-0.10805869102478027, 0.04577250778675079]"
112,"[-0.10810347646474838, 0.13054470717906952]"
113,"[-0.10832742601633072, 0.05440569296479225]"
114,"[-0.10837222635746002, 0.13917788863182068]"
115,"[-0.1082378551363945, -0.1151387095451355]"
116,"[-0.10828263312578201, -0.030366502702236176]"
117,"[3.7209646701812744, 2.9603772163391113]"
118,"[-0.10855139046907425, -0.021733315661549568]"
119,"[-0.10841701179742813, 0.2239500880241394]"
120,"[-0.10846179723739624, -0.19127771258354187]"
121,"[-0.10725244879722595, 0.019872937351465225]"
122,"[-0.10729724168777466, 0.10464513301849365]"
123,"[-0.10716287791728973, -0.14967146515846252]"
124,"[-0.10720767080783844, -0.0648992583155632]"
125,"[12.83757209777832, -4.925043106079102]"
126,"[-0.10747640579938889, -0.056266073137521744]"
127,"[-0.10734204202890396, 0.18941733241081238]"
128,"[-0.10738682746887207, -0.2258104681968689]"
129,"[-0.1076107770204544, 0.19805052876472473]"
130,"[3.9228992462158203, -2.869903087615967]"
131,"[-0.10752120614051819, 0.028506124392151833]"
132,"[-0.1075659915804863, 0.11327832192182541]"
133,"[-0.10778994113206863, 0.03713931143283844]"
134,"[-0.10783473402261734, 0.12191151827573776]"
135,"[-0.10770036280155182, -0.132405087351799]"
136,"[-0.10774514824151993, -0.04763288423418999]"
137,"[-0.0979359894990921, -0.1127442717552185]"
138,"[-0.09798078238964081, -0.02797207422554493]"
139,"[-0.09784641861915588, 0.21771132946014404]"
140,"[-0.09789121150970459, -0.19751647114753723]"
141,"[-0.09811515361070633, 0.2263445109128952]"
142,"[-0.09815994650125504, -0.18888328969478607]"
143,"[-0.09802558273077011, 0.05680012330412865]"
144,"[-0.09807036817073822, 0.14157232642173767]"
145,"[10.188064575195312, 3.4162936210632324]"
146,"[-0.09833911806344986, 0.15020550787448883]"
147,"[-0.09820474684238434, -0.10411108285188675]"
148,"[-0.09824953228235245, -0.019338887184858322]"
149,"[-0.09847348183393478, -0.09547790139913559]"
150,"[-0.09851828217506409, -0.010705700144171715]"
151,"[-0.09838390350341797, 0.23497770726680756]"
152,"[-0.09842868894338608, -0.18025009334087372]"
153,"[-0.09721934795379639, 0.03090055286884308]"
154,"[-0.0972641333937645, 0.1156727597117424]"
155,"[-0.09712976217269897, -0.13864384591579437]"
156,"[-0.09717455506324768, -0.05387164652347565]"
157,"[-0.09739851206541061, -0.13001064956188202]"
158,"[-0.09744329750537872, -0.04523845762014389]"
159,"[-0.0973089262843132, 0.20044495165348053]"
160,"[-0.09735371917486191, -0.21478284895420074]"
161,"[12.48703670501709, 3.289241313934326]"
162,"[-0.09762245416641235, -0.20614966750144958]"
163,"[-0.09748808294534683, 0.03953374922275543]"
164,"[-0.09753288328647614, 0.12430594861507416]"
165,"[-0.09775683283805847, 0.04816693440079689]"
166,"[-0.09780161827802658, 0.13293913006782532]"
167,"[-0.09766724705696106, -0.12137746810913086]"
168,"[-0.09771204739809036, -0.03660526126623154]"
169,"[-0.09936930239200592, 0.09996606409549713]"
170,"[-0.09941409528255463, 0.18473826348781586]"
171,"[-0.09927970916032791, -0.06957832723855972]"
172,"[5.42804479598999, -3.802823543548584]"
173,"[-0.09954846650362015, -0.060945142060518265]"
174,"[-0.09959324449300766, 0.02382705733180046]"
175,"[-0.09945887327194214, -0.23048953711986542]"
176,"[-0.09950366616249084, -0.1457173377275467]"
177,"[4.614415168762207, 3.4207983016967773]"
178,"[-0.09977240860462189, -0.13708415627479553]"
179,"[-0.09963803738355637, 0.10859925299882889]"
180,"[-0.09968283772468567, 0.1933714598417282]"
181,"[-0.099906787276268, 0.11723244190216064]"
182,"[-0.09995157271623611, 0.20200464129447937]"
183,"[-0.0998172014951706, -0.05231195315718651]"
184,"[-0.0998620018362999, 0.03246024623513222]"
185,"[-0.09865264594554901, 0.24361088871955872]"
186,"[5.385834217071533, -3.9294216632843018]"
187,"[-0.0985630676150322, 0.07406649738550186]"
188,"[-0.0986078530550003, 0.15883870422840118]"
189,"[-0.09883180260658264, 0.08269969373941422]"
190,"[-0.09887660294771194, 0.16747188568115234]"
191,"[-0.09874223172664642, -0.08684471249580383]"
192,"[-0.09878701716661453, -0.0020725128706544638]"
193,"[-0.09901097416877747, -0.07821152359247208]"
194,"[-0.09905576705932617, 0.0065606823191046715]"
195,"[-0.09892138838768005, -0.24775591492652893]"
196,"[-0.09896618127822876, -0.1629837155342102]"
197,"[-0.0991901382803917, -0.23912273347377777]"
198,"[-0.0992349311709404, -0.15435053408145905]"
199,"[6.708607196807861, 3.2343692779541016]"
200,"[-0.09914533793926239, 0.1761050820350647]"
201,"[-0.10080259293317795, -0.18732360005378723]"
202,"[-0.10084739327430725, -0.10255139321088791]"
203,"[-0.10071302205324173, 0.1431320160627365]"
204,"[-0.10075780749320984, 0.22790421545505524]"
205,"[-0.10098175704479218, 0.15176519751548767]"
206,"[-0.10102655738592148, 0.2365373969078064]"
207,"[10.613033294677734, -4.213840484619141]"
208,"[-0.10093696415424347, 0.06699299812316895]"
209,"[-0.1011609211564064, -0.009146008640527725]"
210,"[-0.1012057214975357, 0.0756261870265007]"
211,"[-0.10107134282588959, -0.17869040369987488]"
212,"[3.238295078277588, -2.861900806427002]"
213,"[-0.10134009271860123, -0.17005722224712372]"
214,"[-0.10138487815856934, -0.0852850154042244]"
215,"[-0.10125050693750381, 0.16039839386940002]"
216,"[-0.10129529237747192, 0.24517059326171875]"
217,"[4.889959335327148, -3.7103402614593506]"
218,"[-0.10013073682785034, 0.041093431413173676]"
219,"[-0.09999636560678482, -0.2132231593132019]"
220,"[-0.10004115849733353, -0.12845095992088318]"
221,"[5.626101493835449, -4.1067352294921875]"
222,"[-0.10030990093946457, -0.11981777846813202]"
223,"[-0.10017552971839905, 0.125865638256073]"
224,"[-0.10022032260894775, 0.21063783764839172]"
225,"[-0.10044427216053009, 0.13449881970882416]"
226,"[-0.1004890576004982, 0.21927101910114288]"
227,"[-0.10035469383001328, -0.03504557907581329]"
228,"[-0.10039948672056198, 0.04972662776708603]"
229,"[-0.10062342882156372, -0.02641238272190094]"
230,"[-0.10066822171211243, 0.05835981294512749]"
231,"[-0.1005338579416275, -0.1959567815065384]"
232,"[-0.10057865083217621, -0.11118458956480026]"
233,"[-0.10223590582609177, 0.02538674883544445]"
234,"[-0.10228068381547928, 0.11015895009040833]"
235,"[-0.10214631259441376, -0.14415764808654785]"
236,"[-0.10219111293554306, -0.059385448694229126]"
237,"[1.4932665824890137, -1.8729749917984009]"
238,"[-0.1024598479270935, -0.05075226351618767]"
239,"[-0.10232547670602798, 0.19493114948272705]"
240,"[-0.10237027704715729, -0.22029666602611542]"
241,"[-0.10259421914815903, 0.2035643309354782]"
242,"[-0.10263901203870773, -0.21166346967220306]"
243,"[-0.10250464826822281, 0.03401993587613106]"
244,"[-0.10254944115877151, 0.11879213154315948]"
245,"[-0.10277338325977325, 0.042653124779462814]"
246,"[-0.10281817615032196, 0.12742532789707184]"
247,"[-0.10268381237983704, -0.12689127027988434]"
248,"[-0.10272859781980515, -0.04211907461285591]"
249,"[-0.10151925683021545, 0.16903157532215118]"
250,"[-0.10156404227018356, -0.2461962252855301]"
251,"[-0.10142966359853745, -0.0005128211341798306]"
252,"[-0.10147445648908615, 0.08425937592983246]"
253,"[-0.10169841349124908, 0.008120366372168064]"
254,"[-0.10174320638179779, 0.09289257228374481]"
255,"[-0.10160882771015167, -0.16142402589321136]"
256,"[-0.10165362060070038, -0.07665183395147324]"
257,"[-0.10187757760286331, -0.1527908444404602]"
258,"[-0.10192236304283142, -0.06801864504814148]"
259,"[-0.1017879918217659, 0.17766477167606354]"
260,"[-0.10183277726173401, -0.23756302893161774]"
261,"[-0.10205674171447754, 0.1862979531288147]"
262,"[-0.10210152715444565, -0.22892984747886658]"
